Order_ID,Customer_ID,Product_ID,Seller_ID,Quantity,Order_Date,Shipping_Cost,Discount_Amount,Payment_Method,Total_Amount,Delivery_Status,Review_Rating
ORD_1,CUST_3271,PROD_5784,SELL_530,4,2023-01-01,46.68,105.52,Debit Card,5323.28,Cancelled,3
ORD_2,CUST_2904,PROD_801,SELL_584,3,2023-01-01,33.36,182.41,Cash on Delivery,4167.68,Pending,1
ORD_3,CUST_2738,PROD_1909,SELL_304,4,2023-01-01,47.56,164.42,Cash on Delivery,2166.74,Pending,4
ORD_4,CUST_3645,PROD_3778,SELL_492,5,2023-01-01,35.92,84.85,Net Banking,5459.57,Pending,1
ORD_5,CUST_192,PROD_1732,SELL_392,1,2023-01-01,30.97,55.42,Net Banking,1237.26,Pending,5
ORD_6,CUST_177,PROD_927,SELL_696,3,2023-01-01,17.28,80.31,Credit Card,2117.67,Cancelled,3
ORD_7,CUST_1612,PROD_4559,SELL_359,3,2023-01-01,34.52,168.23,Net Banking,1673.1,Pending,3
ORD_8,CUST_4816,PROD_6419,SELL_911,3,2023-01-01,17.9,43.12,UPI,4569.58,Cancelled,3
ORD_9,CUST_2170,PROD_7049,SELL_7,2,2023-01-01,12.84,3.44,Credit Card,445.52,Delivered,2
ORD_10,CUST_2362,PROD_7275,SELL_954,4,2023-01-01,30.65,6.67,Net Banking,6571.3,Cancelled,4
ORD_11,CUST_518,PROD_9527,SELL_784,5,2023-01-01,30.3,43.34,UPI,3817.56,Delivered,2
ORD_12,CUST_806,PROD_1177,SELL_286,3,2023-01-01,25.47,152.55,UPI,5629.98,Cancelled,5
ORD_13,CUST_1514,PROD_7864,SELL_540,3,2023-01-01,27.54,147.5,UPI,2042.98,Pending,1
ORD_14,CUST_2781,PROD_4771,SELL_25,1,2023-01-01,27.67,27.36,Debit Card,1527.18,Delivered,1
ORD_15,CUST_1797,PROD_73,SELL_898,4,2023-01-01,21.87,8.32,Net Banking,1667.71,Delivered,3
ORD_16,CUST_901,PROD_8036,SELL_115,5,2023-01-01,16.86,82.44,Debit Card,7014.37,Delivered,5
ORD_17,CUST_914,PROD_8395,SELL_978,5,2023-01-01,23.96,141.56,Net Banking,527.05,Pending,4
ORD_18,CUST_2344,PROD_820,SELL_254,4,2023-01-01,44.35,179.66,UPI,5672.29,Pending,1
ORD_19,CUST_3636,PROD_1871,SELL_280,3,2023-01-01,41.49,92.5,UPI,211.91,Cancelled,2
ORD_20,CUST_4815,PROD_6227,SELL_306,2,2023-01-01,41.9,40.78,Cash on Delivery,1911.88,Delivered,5
ORD_21,CUST_2238,PROD_136,SELL_507,1,2023-01-01,22.32,148.54,Credit Card,806.16,Pending,2
ORD_22,CUST_110,PROD_8874,SELL_336,2,2023-01-01,14.79,145.47,Net Banking,3172.96,Cancelled,2
ORD_23,CUST_477,PROD_3166,SELL_61,5,2023-01-01,14.16,172.77,UPI,3899.49,Cancelled,4
